PRODUTOS,PREÇO_UN,PREÇO_FD,PESO_FD,QUANTIDADE,PESO_ITEM,PREÇO_ITEM
AMENDOIM HANNER TIGRE 25X400GR,4.72,118.0,0.0,0.0,0,0.0
AMENDOIM TORRADO SEM SAL 25X400GR,5.24,131.0,10.0,36.0,360,4716.0
AMENDOIM TORRADO COM SAL 25X400GR,5.24,131.0,10.0,60.0,600,
AMENDOIM TORRADO COM SAL 30X100 GR,1.55,46.5,3.0,,0,0.0
AMENDOIM TORRADO SEM SAL 30X100 GR,1.55,46.5,3.0,5.0,15,232.5
AMENDOIM CROCANTE NATURAL 30X200GR,3.97,119.1,6.0,4.0,24,476.4
AMENDOIM CROCANTE NATURAL 30X100GR,2.36,70.8,3.0,2.0,6,141.6
AMENDOIM CROCANTE BACON 30X100,2.36,70.8,3.0,5.0,15,354.0
AMENDOIM CROCANTE COM ALHO 30X100,2.36,70.8,3.0,,0,0.0
AMENDOIM CROCANTE SALSA E CEBOLA 30X200GR,3.97,119.1,6.0,4.0,24,476.4
AMENDOIM CROCANTE PICANTE 30X200GR,3.97,119.1,6.0,7.0,42,833.7
AMENDOIM CROCANTE JAPONES 30X200GR,3.97,119.1,6.0,7.0,42,833.7
AMENDOIM FRITO COM SAL 30X200GR,3.97,119.1,6.0,4.0,24,476.4
AMENDOIM OVINHO 30X200GR,3.76,112.8,6.0,,0,0.0
AMENDOIM OVINHO 30X100GR,2.13,63.9,3.0,,0,0.0
ACUCAR MASCAVO JR 10X1KG,9.35,93.5,10.0,,0,0.0
AÇUCAR MASCAVO JR 20X500GR,5.32,106.4,10.0,,0,0.0
BICARBONATO DE SODIO  TIGRE 10X1KG,9.0,90.0,10.0,8.0,80,608.8
CANJICA AMARELA TIGRE 25X400GR,2.37,59.25,10.0,16.0,160,948.0
CANJICA BRANCA TIGRE 20X500GR,3.69,73.8,10.0,4.0,40,295.2
CANJIQUINHA TIGRE 20X500GR,2.98,59.6,10.0,2.0,20,119.2
DOCE DE LEITE COM COCO 10X400GR,10.02,100.20,4.0,5.0,20,433.0
DOCE DE LEITE PURO 10X400GR,10.02,100.20,4.0,4.0,16,346.4
DOCE DE LEITE COM CHOCOLATE 10X400GR,10.02,100.20,4.0,,0,0.0
DOCE DE LEITE COM AMENDOIM 10X400GR,10.02,100.20,4.0,4.0,16,346.4
DOCE DE LEITE COM AMEIXA 10X400GR,10.02,100.20,4.0,2.0,8,173.2
DOCE DE LEITE COM MORANGO 10X400GR,10.02,100.20,4.0,,0,0.0
DOCE DE LEITE COM GOIABADA 10X400GR,10.02,100.20,4.0,,0,0.0
ERVILHA PARTIDA TIGRE 25X400GR,3.44,86.0,10.0,4.0,40,344.0
FEIJÃO BRANCO TIGRE 20X500GR,5.46,109.2,10.0,4.0,40,436.8
FEIJAO FRADINHO TIGRE 20X500GRS,4.07,81.5,10.0,10.0,100,764.0
FEIJAO PRETO Q-TAL 30X1KG,6.8,204.0,30.0,95.0,2850,19380.0
FEIJÃO PRETO TIGRE 20X500GR,3.96,79.2,10.0,3.0,30,237.6
FEIJAO CARIOCA Q-TAL 30X1KG,0.0,0.0,30.0,73.0,2190,0.0
FEIJAO CARIOCA TIGRE 20X500GRS (em falta),0.0,0.0,10.0,,0,0.0
FEIJAO DE CORDA TIGRE 25X500GRS,3.2,80.0,12.5,84.0,1050,6720.0
FARINHA DE MILHO AMARELA 25X400GR,4.16,83.2,10.0,5.0,50,416.0
FARINHA DE MANDIOCA GROSSA TIGRE 10X900GR,6.89,68.9,10.0,15.0,150,1033.5
FARINHA DE MANDIOCA GROSSA TIGRE 25X400GR,2.76,68.9,10.0,,0,0.0
FARINHA DE MANDIOCA FINA TIGRE 10X1KG,6.89,68.9,10.0,10.0,100,689.0
FARINHA DE ROSCA TIGRE 24X400GR,4.83,115.9,9.6,,0,0.0
FAROFA TEMPERADA TIGRE 20X500GR(EM FALTA),,,10.0,,0,0.0
FÚBA DE MILHO 25X400GR,2.43,60.75,10.0,,0,0.0
GRAO DE BICO TIGRE 25X400GRS,4.53,113.1,10.0,1.0,10,108.0
GIRASSOL MIUDO TIGRE 20X500GR,4.19,83.8,10.0,,0,0.0
LENTILHA TIGRE 25X400GR,4.32,108.0,10.0,2.0,20,216.0
POLVILHO AZEDO TIGRE 20X500GR,4.71,94.2,10.0,,0,0.0
POLVILHO DOCE TIGRE 20X500GR,4.71,94.2,10.0,,0,0.0
MILHO P/ PIPOCA TIGRE 25X400GR,2.77,69.25,10.0,144.0,1440,9972.0
RAPADURA MINEIRA JR 5X600GR,6.97,34.85,3.0,12.0,36,418.2
SAL DO HIMALAIA 10X1KG,6.28,62.8,10.0,10.0,100,628.0
SOJA TIGRE 25X400GRS,2.82,70.5,10.0,,0,0.0
SAGU TIGRE 20X500GR,5.12,102.4,10.0,2.0,20,194.8
TRIGO P/ KIBE TIGRE 20X500GR,3.3,66.0,10.0,11.0,110,726.0
TAPIOCA GRANULADA 20X500GR,5.25,105.0,10.0,,0,0.0
PAÇOCA ROLHA TIGRE 60X100GR,1.85,110.71,6.0,,0,0.0
PAÇOCA ROLHA TIGRE 24X300GR,6.63,159.18,7.2,,0,0.0
PAÇOCA ROLHA TIGRE 12X504GR,8.29,99.44,6.05,,0,0.0
TOTAL GRÃOS,,,,,14928,0.0
